25 25
###########    ##########
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
##########              #
         #               
         #               
#        #              #
#        #              #
#        #              #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
###########    ##########
